Difference of "all_files" between "inf-20100330-1511" and "inf-20100413-1953".
Unable to create data files for 1 file between: "inf-20100413-1949"

Total file: 357 (+4, -0)
Changed file "META-INF/MANIFEST.MF" from "fd7418440eae5e85e2ce6371ff5aec356235f399" to "0d13b4913fd44f3c705cc0dda3c78a817dac4a47".
Changed file "META-INF/MOJANG_C.DSA" from "41cf537b79b95d22f58a547ec3d2e7169ed63197" to "2b0383146d21f212669f746a5b019509fe7eb3aa".
Changed file "META-INF/MOJANG_C.SF" from "d3930a00063b7f4d1fb416bdfc2cc562544461c6" to "e5c4fdff9f891718ce40559ef6102eedf8c7f6c6".
Added file "a/b.class": "a3b87679052e21d731b08b0cd41b7a1533380e19".
Changed file "net/minecraft/a/a/a/b.class" from "42117f795554f6abf44d90b26b4df472e55f5b70" to "193e86d9886c6c5092c43cc79f28033264800e6c".
Changed file "net/minecraft/a/a/a/c.class" from "a47754544cb2efd65275bae19012864019730be8" to "873afbbe5597de41d2232611889616f6a6027d58".
Changed file "net/minecraft/a/a/b.class" from "6236111333c08fc0ef826bfb966606f1a779da1a" to "ae1c001bd6f74a94ecf45f8dc8ba7def409325d2".
Changed file "net/minecraft/a/a/b/a.class" from "ab3638dd062c48babc9211ab52cc30cca2920750" to "f3c7ebfe5a066d833f023223a9fdfce6299f18f7".
Changed file "net/minecraft/a/a/b/a/a.class" from "834143f46abdd61ae2c3edad6ab07bfd5264508d" to "ace41949abfae9fd44f9309729808212e240370b".
Changed file "net/minecraft/a/a/b/a/b.class" from "8953e3ec274c1d752a6c63beb0498bca5544b03a" to "341250fab2ca490f631eedd4ef7f398b6ce40c57".
Changed file "net/minecraft/a/a/b/a/c.class" from "a226c23bd25a37d6bfcbfdf84686896b6ff08f5a" to "a14f51da594c8b0a436b085d04b992856378535e".
Changed file "net/minecraft/a/a/b/ab.class" from "5b8d8467925d38ede8bf1c7e5767f2e1d8c8d5ea" to "00276e7e092700f58b29f04d6e7ca57c6d8d7ad4".
Changed file "net/minecraft/a/a/b/ac.class" from "49e1f500f1d099303a84627d780a919f0de0f23c" to "6519d3d67ab3209e22136e01d195880e33acfaa9".
Changed file "net/minecraft/a/a/b/ad.class" from "7a5d84b557638333dd39ff5c6612a20f4032a4d1" to "0ae99c3ca70552cd3854f7f4f465b8d44f5b7c9c".
Changed file "net/minecraft/a/a/b/ae.class" from "167cb242222c6090adb365323f6eb7ee5471b8cd" to "e483f161f69f2e9205ec126287a78eee9024c099".
Changed file "net/minecraft/a/a/b/af.class" from "66824863dc0dfeced4d167c18a6264aed6ddc6a4" to "c2a4732dfe7fe2442d9e02ad7ebaef4e8ef9e2fa".
Changed file "net/minecraft/a/a/b/ag.class" from "1b961add6b9aee521801816d55d5b6f8c3d3398e" to "d41aa33a726d3d2816d3d3475ab6a5f7a3c47b21".
Changed file "net/minecraft/a/a/b/ah.class" from "9bb418fae4c6473f0128bcb02833ff69b130ab84" to "2ae7109edb19f2d56b4a86e75e12a2f041499871".
Changed file "net/minecraft/a/a/b/ai.class" from "1d0a6c9d25fd3fa77d89f252d8b345356316bcb6" to "77bd1d84fd3673956a44698fab3855ca5d5ebf31".
Changed file "net/minecraft/a/a/b/aj.class" from "6be4ce26130ae8c87d9f0edacef23e0488882d81" to "7d69b7b76abe0fbf98d5ae604d7c2210fb7de98d".
Changed file "net/minecraft/a/a/b/b.class" from "3984e9b8eb349e7d70c25e0e13e0161a6b87e086" to "d25119ea8a4152325717fee121b324adef8cbdea".
Changed file "net/minecraft/a/a/b/f.class" from "4b116569903e20c10d966c2a56d4313356e734e0" to "62f2c78bec9e8bce8b73205771914d0fcb79a312".
Changed file "net/minecraft/a/a/b/g.class" from "19df57646833f8573cfb3984ee1d831264606e81" to "2125110a705bb84ef05946eb29fb3a6e6ce27b63".
Changed file "net/minecraft/a/a/b/h.class" from "d7b1d88159b35f603c6023cea56c555782f9e9d5" to "cf23227bf4c80ecb53d3278febc1d32e789a5316".
Changed file "net/minecraft/a/a/b/m.class" from "fe0806e971cb142035ecae69f914b62a5a61ca60" to "c302c7c166586fce2fb6cb0edff774279b818c2a".
Changed file "net/minecraft/a/a/b/o.class" from "b0ee17447584e30ad424a1fabfd8802d0e297000" to "02fce8c0e5014927674ce36729e49a3c71391e73".
Changed file "net/minecraft/a/a/b/p.class" from "4d1aef3a80dae9106526de985507b57b27e2c6cc" to "a4d6b26411028aa4c79d9576293d0c8881df827a".
Changed file "net/minecraft/a/a/b/q.class" from "cde15ee21cbf159c59bbc8956c335df490d95d23" to "93903394ca84bfda0bb2dbd79a7c1e62ff93a84e".
Changed file "net/minecraft/a/a/b/s.class" from "bde52b72f4db46bc0dc50a860587fa420fafa0b0" to "c54f74efa81085fc7c1d3d11a687b6dde144819d".
Changed file "net/minecraft/a/a/b/t.class" from "564d2dfef4e9b3d1d49b47021044b885b672b01c" to "34fb35d949e3cbe4268d117ccdd91ef96ff8e36c".
Changed file "net/minecraft/a/a/b/v.class" from "42a915477edc96c375bcdd451e2fa1659a766b5f" to "b5ce508e783a5bd43a220a82745b24412a22a05b".
