Difference of "all_files" between "in-20100207-1101" and "in-20100207-1703".
Unable to create data files for 1 file between: "in-20100207-1647"

Changed file "META-INF/MANIFEST.MF" from "3899c5bcd3c2c3f66fc2995cc96257a5889dd02a" to "eb3b07b14fa7030adb4386127fa350f97c3fb5f1".
Changed file "META-INF/MOJANG_C.DSA" from "efd4ab44360efea26a9c1fd88745b565a74559e0" to "2b7faca5b0b583054316bfd3f2775f3361cc3c90".
Changed file "META-INF/MOJANG_C.SF" from "ae020148a9a20a5ec7690f196d10359a7a4d9dcd" to "1275578cbb76e9b17891daeb4109aeeae6f81595".
Changed file "net/minecraft/a/a/b/a.class" from "5235a1eea4dfb66e1dee525d6e7bba81daf1902e" to "c227b4ff69246a1f811c18a75dfe31a47d421df9".
Changed file "net/minecraft/a/a/b/ab.class" from "569c10e936b936689a9861f1c844b2621edc4189" to "8e8b6b6fd8616db0a2965079b758ff2e4f1b5813".
Changed file "net/minecraft/a/a/b/ac.class" from "ed235d9b1351cf506d9b47c289a2d71cf32028a3" to "b987b6359ef70a2c13c62a9d2d75b1199da754fc".
Changed file "net/minecraft/a/a/b/ad.class" from "9731bc2310a03a462ff8d0a1d3d4ad750b626e02" to "83f4c5a39da57fcc9f07123f1ddcefeba9b95dea".
Changed file "net/minecraft/a/a/b/ae.class" from "190c86d892673c78d682c14e922124c78bf86732" to "ecbda0185e115ae012e7b78ce821b401b8aa75ea".
Changed file "net/minecraft/a/a/b/b.class" from "081055ce499cdf3ebcb89482535c441dc378cb11" to "be50c00b0e0bef009547f4d4f063be36451699d5".
Changed file "net/minecraft/a/a/b/j.class" from "42ad62921dd615285492cd3380ee929824b6f6fb" to "2a1a5baa67da253b5aae04474bc0142427e6f80c".
Changed file "net/minecraft/a/a/b/m.class" from "f99a6483963975f5440457cdfbff50ac73ae93e0" to "d957889d4f6c3599b9c8b3cb504f377780b4d900".
Changed file "net/minecraft/a/a/b/n.class" from "6992ff41ea764cdb59548fb58475a213944bd6f9" to "931c12158f083179b7d650dcf2244ce4bc12c69d".
Changed file "net/minecraft/a/a/b/q.class" from "23b1707277ccc318ecd416e6af3f9909515aae64" to "dfef8d8d9b72f616f3cd26d1d27bf88c11e7f877".
Changed file "net/minecraft/a/a/b/r.class" from "102a0b9a06d8ba5c4a94dd647ab273c771a13617" to "ce19712fb092fb3da4261c5cb4f4877b2a5cf437".
Changed file "net/minecraft/a/a/b/s.class" from "59fc82ba4f09d66d92ef68d5b585682102f7fb81" to "5a3a3c5062377f63fa007f31d6daa551221d74e9".
Changed file "net/minecraft/a/a/b/y.class" from "d0a8202aad66e86e95de58656f23d8fdab400555" to "fec6a49a6abf85c9a8c52195db8c9e249995e65e".
Changed file "net/minecraft/a/a/b/z.class" from "602d59320089e1b2d4c274aebc20b036cf0f9dc0" to "902e3fc6992afcad45efb09e554578e6bafe524b".
Changed file "net/minecraft/a/a/f.class" from "1956ca983f93f958e67c500a17e46a0317c268f5" to "382b012867dd9e3ff2548e198c5e7bf82bcb1753".
Changed file "net/minecraft/client/a/e.class" from "4a929712722eb4c8e01b479b77584b23eaeee24f" to "437fb63326abd92ffb864ce522df86cfe1f2a7f9".
Changed file "net/minecraft/client/d.class" from "b55d2fe4177f582a93f6a87ca79bfb4dd5290028" to "2a60702d9a8ba373a25c1db4b59ca794ca66cdab".
