Difference of "all_files" between "a1.0.16" and "a1.0.16_01".

Changed file "META-INF/MANIFEST.MF" from "f46631f89a8b148eff28588bdafb6e00245674ed" to "aa6e643cfa576e15d4bfe143ff09a1b0e8e94f20".
Changed file "META-INF/MOJANG_C.DSA" from "4c445b24855228f34ea14321904d1c95aeb88190" to "e83cbd49ed46caceba601a3e089868dad3054365".
Changed file "META-INF/MOJANG_C.SF" from "218b2a2b173aed448335a8aa3660f39d8ded8e03" to "419667017942f6c0970ccceab33cc9ff60e42931".
Changed file "ab.class" from "15658cadf3778de4c09955a240e6f3be7d077598" to "254572b8c5bcf543382abb990018d2ce06444c73".
Changed file "ag.class" from "1ad4b0384aad1d7bb111046cf5ef7a0be3e4c733" to "3d94a6f69776866c8aa45323aa304437f51fc8b2".
Changed file "an.class" from "a5760a96ed3c3f62b584e84691e7b6e0302bf3e8" to "9755a4dd775bb36c4f58f40e5f2d5f67b1bc2033".
Changed file "av.class" from "831e1e2199430f7cfa3881b047dc9d38f2193906" to "860cc5f57d3ba4a895c87142234372a0f2392c85".
Changed file "ba.class" from "10a4954bb5f51aeccbb36fc4ebb73ee05f15a160" to "392edb257735af2423a3141d242215815ff3ccb5".
Changed file "bc.class" from "8710640eadcc8a5dac6bda3fd5073357250e21fc" to "ac7fc86164cdc63b71c59b70dfbf4d2f995036d1".
Changed file "ce.class" from "babeff9ae9a8fb0faaeb63511f770fcd58128d5f" to "9ca5e91087b8447bc20f9da5431e4fefd8f7887a".
Changed file "cj.class" from "07e6b7439ff78920cd06e01197104906ade21d94" to "0ed21444c00c7231373c2b30b8a7d2726b005082".
Changed file "cr.class" from "e76cda23f30bd023c9a353340a02cc0a4e9e6501" to "ff34b9234a66aaca6ce9b2f66d42cdd314c758d8".
Changed file "dg.class" from "8d29bb4cf358729789d668c76f6a29e7f71ae414" to "a39b3547202d4c25c0687aca52ea7e917748c280".
Changed file "dk.class" from "8af7c71506412de9f4e6d7cf7a97f2b4225fcb46" to "097f131364081a47076f26a2d66bf3f02f343dc5".
Changed file "dr.class" from "8d60d3a73da45903ceaeaff60d44366925908228" to "e633b37b8941832cf56fdaeab644424f4c8efd9b".
Changed file "ev.class" from "d8204c1de33bfd521c7e337333b3ad354f78b97a" to "cb838d7b5a946d34757f26e383a2783aeabad028".
Changed file "fe.class" from "2a794402614e27143df50d310e202375fbdff685" to "f86a731381bca1aaeb2898f3edf325376553bb97".
Changed file "fg.class" from "62ddd4dfccc4c57b9442b779ced1816695bec6d8" to "c9b2e3c254abedc6e6cdc48c67c946cfecb438f5".
Changed file "fk.class" from "f7ae65e1d5f92f785fedfebccddf27608ebf47c9" to "3f3096438d90082a79990292dabbc96813edbe59".
Changed file "fl.class" from "900249498660436650cdee91d22c936cbcefe170" to "6ed9bde1660acca3327f173c5ebdeea648103511".
Changed file "fn.class" from "10e4aa6940d20cfc67c864e47751b5d1c5326382" to "10c0ecf93b4437bdb3a4403e03a12e9b1fbb5ec1".
Changed file "fr.class" from "c2e0ad87c3f18c8fa0b37f62707123796fa74001" to "e50d3ac405bf50d92060d16db62243f1bc6b8d5d".
Changed file "ft.class" from "33101ba319b9bc54edd3822fd3b9719b19f70f42" to "0c16df9f5549f5e7b1174b8659803e1e5f237f4a".
Changed file "gj.class" from "d97bcb2e45f8dc85f852300d2fc5781ca107ef4c" to "afa7cdc876a024f5f923de693245d6bb4c62b21a".
Changed file "go.class" from "902af6e9d7bb1dd135a56619f05044cfea41bce4" to "cd197bbc51f93bd81cbff68f7982409bcf4c64b9".
Changed file "gt.class" from "fff9bd7ade3f5d8254382a1fa9fdc5e151be3cf8" to "b9b610be2465a00389ab1fef6802b13819711fd0".
Changed file "hd.class" from "24c96c206e8072dedc9b4dbdad96f5956c3d416a" to "5004615cb67ce5273fd3aa7b3c281993e31a5bab".
Changed file "ig.class" from "47ad5ccbc226ea88e2ca27a1fd3205720bc51153" to "795bd24f9d68e7438b36581e13829b448a7af02f".
Changed file "iv.class" from "0756705caebe94fd607865d72248079c62092c4b" to "99ddaaaafdd63d3905282f27007cab1c426f93ec".
Changed file "jf.class" from "ac7b62f807a81888188cb618eff7d8bb2ae84be6" to "29d57cd82357a63fa58f7eb2aef0c72979010c54".
Changed file "kt.class" from "620c540d20fce08eb5930f5e9b39f778f447ef9f" to "0a6a9f34718ac90f685adb44d214ac40c82e12fd".
Changed file "kz.class" from "2c7d25145f3b09ebb348c88ea47952d7c677d337" to "3a0f0c555463a4b8888804b3d2befac5f87c85fc".
Changed file "l.class" from "05d6094d9d2c377907ad0a591b9d81a61ff53d2f" to "840e51fa1760ae7b50cbbb093b03fe312f555e13".
Changed file "lk.class" from "844571a29db22729cb95932eb7fc0ebd45a65f07" to "63821a8cacf2acc76d6da56484717bd45f1ab8ff".
Changed file "ln.class" from "bca8c29f6e9c8dc15d4aecdf8f12723bf57cb88b" to "761009824e4bcc789f465919b71cf05838ff8bc4".
Changed file "lq.class" from "52683e73aa2a6ad406ab95f74b4b08426e264763" to "74ae1fa96db586f4d107ea91cea6f634fffeb12f".
Changed file "ly.class" from "986d5bf2e8c11ef7099f79d7f501618adae92bbf" to "306c123308e0bc2973719d1345949f6ad217d078".
Changed file "nb.class" from "4a0fc6cba5df4a85c71755740cd0bd3e5d82e9b9" to "f2d36049b470831c1fe9eed381318898e30ab9c6".
Changed file "net/minecraft/client/Minecraft.class" from "de1facdbfff3d74b38c1909610583e9c77f88ff2" to "65b9a685dfe3a0b675a741a857ce8b7388fc9be5".
Changed file "net/minecraft/client/MinecraftApplet.class" from "2cfdb7f22d13685a5c574bf2b3f49e70cc6c1436" to "e2ec4c0df98ced10530d9b566403e20d00b2d7ff".
Changed file "nj.class" from "75aff7085801bd0cc3b32add6acea3438f5d51b5" to "565de52a7f57c96cbd36fe9c9e0554fb687a3948".
Changed file "no.class" from "a09e6b3709f076e06d63c5a2419fd650317036d3" to "5260153c2df329ca774776528e00daf08458cbb2".
Changed file "p.class" from "564d59de044d65b00fda02cf615388c4bd28a8ac" to "0e535935156cdce267b4c262c8c9d74e84da1fae".
