Difference of "all_files" between "b1.4-1634" and "b1.4_01".

Total file: 714 (+0, -1)
Changed file "META-INF/MANIFEST.MF" from "58e3a1e8de3acc56905fd97b64e3f2cf1482b801" to "2c132667816ba4a53304f7f99ee20d48dab9cee5".
Changed file "META-INF/MOJANG_C.DSA" from "6a743888b8ea59223279c039f976ee4c7b61b018" to "2fa34f764f879f03e515052cc3140716dea02fba".
Changed file "META-INF/MOJANG_C.SF" from "ac4715645293c40dedc33a124bbc926965f3be8f" to "7a442061f001758c806d44875dd86c41d10c5ca9".
Changed file "ab.class" from "7be1b577faeb61e89293e1cf60886488dfa3b7c2" to "1f5a6f0a22cd471317ba8eefaf400ed866655be0".
Removed file "achievement/bg2.png": "98320f54fd65366e7f8e94703fa3edbd8dc28c7f".
Changed file "ad.class" from "2521165ff4b58947e258a86dee3b78de439b227a" to "d71b126ddf1eca327ba414ec109a863c58a0efcc".
Changed file "al.class" from "6b2ecd552521f680f4a08c35e0e9e7549ed9896d" to "d5ba1eb43fec13c6c84b63b25fd95f812b6f7f92".
Changed file "ao.class" from "8ac692894edbada760b5700dd46dd381ec9b56ef" to "e13f5e880833b027a4de264d89ed25e0a9b560f0".
Changed file "ap.class" from "42d03d3a484b469f2bc46a5c005447929ebfe4a4" to "7c815f9540ef325c9533a3e7a5f4f0f8adab2a16".
Changed file "aq.class" from "d5d56cec554d729ee241990dd53b959e4cabcf48" to "0933a3118d5bad2d083f2ecc1684b52952a214c0".
Changed file "as.class" from "651a592d0c2c0844c3a811c0781f7022539d0b66" to "88c5725f856f12d9b055745da793ab41ca881424".
Changed file "aw.class" from "8e5a74361daa337b74df6231c5df88b9c708f987" to "b9c00ff5f1771ceddbd31ef65582bf90b7d65bad".
Changed file "ax.class" from "6558ff936c7503e0f114d9f7971663f6a7eebc95" to "d7c03f5a8c7afa6cb9337c5dbb6f081ca8352dd2".
Changed file "az.class" from "cc78a4e11d4bbe54f02705242227a5286f6e0aca" to "cb8ee231ae105bd93e3cfde24f00226a8e1a0cf1".
Changed file "ba.class" from "c9acf637318a88b4a7f4ce8af097ba8a1d464da7" to "aaf666fef81bead18e3b47c9b1f2e805460f650e".
Changed file "bd.class" from "73b592d41b0833d1388194ba885a2a02984438b1" to "0eb3c557ea10de6513c258f1286702ab90c5a961".
Changed file "bg.class" from "057ea4f72700d2583cb987cabc7a8ab81d1e6189" to "472c72ba3923332b7e0f76688dcc323275c3a758".
Changed file "bj.class" from "9179172c86fa3d127f040e6804505a22c3ab5485" to "4046d102cf061eaf62098a43078f4978e7c6784b".
Changed file "bn.class" from "ee683896451ecb8664d175d37584f6c0657e8af3" to "0f641807f856c23c8c0bf8b863c50880690100d8".
Changed file "bu.class" from "ae834a676b23970fdb0e5eb9ac302044ca8bc6f6" to "42781ef7a64c39f5b914cd03f7977b1bc4e6e80a".
Changed file "bv.class" from "6fd49b1ab91c7a37e6a8d79f9a009114f09bc184" to "70b0e3769da0fa1a2ed35944e079a809402057a7".
Changed file "bw.class" from "02b3538bd00aff9e4b8201b5f5cc5d98a1bc1d38" to "ffd28d743d7aea20ef5ebdb91f7f2c95d9cf5f92".
Changed file "by.class" from "ec1f8da690813d515eddbd05bfd54b24bc9fd9de" to "11e0a286b99599cdc8eda8138c2b5b3d0d225381".
Changed file "ca.class" from "41b5443b237d5849fdf5613d6d202d085925bf03" to "7831d33f6310ec2b7744bbca7e838e158d5a1281".
Changed file "cg.class" from "320f360562e4bc8ac584ec6d17916d598b822fbc" to "5cf82e629d4a3525f6132e9d38fb42ebcf0f346d".
Changed file "ch.class" from "768fd1585a845980036428ab1f924cb3b4c52098" to "1bfd18c69777046b82c153b05964c7fc56d3bd4d".
Changed file "co.class" from "bb35835115c2e367f2067ec22091fcfa6e95a05a" to "89db417ce9a4fdd7519cc7771018e99cc59499ac".
Changed file "cq.class" from "f95e115fef8984684ed170524e806fc5c864037f" to "61102dbc27c4361cb792280fbf0e443b19094ec3".
Changed file "cs.class" from "3e0a15c9f1bc9babb2095cbbc2ba45cb3d386fe4" to "ad821f60389976ac81170570f8edb888c68378cf".
Changed file "cx.class" from "9342512534e14392c5bd7b3ff439ff22d55e06a8" to "745b0c51381c561ebd37f5a92cb833dad14d6f2f".
Changed file "da.class" from "3d682515cfe52c203de9280d9376ffbe47cb374c" to "47b1055cf1c7dfa4b106e54877fce36d1dd0799b".
Changed file "dm.class" from "a37fee9c8542094d6c69e1d901db5f03b108bb34" to "a0c0f1489db28b1fcfea79e7e1897ac3f3fb1c96".
Changed file "e.class" from "701877443787f7bc38db7987af52d8ba75fe7846" to "affb2f243374ffd2b67094bb3150341c58c30ad7".
Changed file "ea.class" from "66e558d2ab123e9c82cbc37232e898f44b55d54a" to "2e7ede64705026fdebe07f778cd30774cdb4e707".
Changed file "eb.class" from "64af7dbfa20bd3c3d3cc3af5702a7ffb91090190" to "a8c460d1aaa02bdf610e5baf1abe33f034a4c113".
Changed file "ee.class" from "781f0c7d5c7a613e9480a224fdf206b6fffcbff0" to "ddfc8efe882e0db6a26ad6d3f591a00184c3a8c3".
Changed file "ek.class" from "8571cbd95b7940efa1925806ab151f912b691374" to "752583bbad74abac6bb210ec7228bdbb9714071e".
Changed file "eo.class" from "544a37ef051d9cdbd2035cacb7eb9b3c50c99b89" to "627cc2bd1eb71ae758fde6478a57f95bb5544891".
Changed file "ep.class" from "a3499d0189d8d586a000cd740b0aa7cd15e77ede" to "5e50e6dfc470399745e0afe6569ae00d2be9ae29".
Changed file "ew.class" from "c8c5a88954d95a3d5fa1619ce964a97323ba7c11" to "b0bd1f11a64664e4e6421862edcfff12a0594000".
Changed file "ex.class" from "17191ab6ec8d50556261e022b3906f570ae39fe9" to "6d10365f31edad505eeab5ce1c448cf57871b483".
Changed file "fd.class" from "b36ccc2c9a6acfc801009c35d5e1596a0afc12ba" to "ca54bc3062c3e986d548829391be5f3398687790".
Changed file "fg.class" from "7ecf471dacb260c88dbdd637427f336053eff3bc" to "c1311c378571bd71e0c6beddf5c6b0493b37b5a6".
Changed file "fi.class" from "c215b374237e8a7bdf09eb158ac1466890a1a5e9" to "dbbc5dc8a3d9fd9c52221e39d250b2be8dd789a7".
Changed file "fk.class" from "9d10b4514b3f5179c3009f81de7d85654558942d" to "4eae55bf38024137c75599de206864783a32ae29".
Changed file "fm.class" from "6e50a3b8aee5ffcd12f40ceebfd8d7194fbf3814" to "23af638c27fc295f8ee6dd2e6b634d6a4ae26486".
Changed file "fo.class" from "1bb4a0fe3c32eff246c5a58ec6d1ac707b395f03" to "e47bb167f45b514c1b79b6b3649976eb9ed13a4e".
Changed file "fq.class" from "c9aecc9506ea0adcade3b24fdd9c6d311d3f2daa" to "e05f2e95a352e384858287cba0a5b828f8d9e462".
Changed file "fr.class" from "b2779696cf4c3c58067950db8bc90db48c1a5d76" to "c4618f1a213b970f4051e76a244e65bcae05bae9".
Changed file "fv.class" from "a7dead9797fca2b56fa35872c04d282e2e6323b2" to "15659dabbc80028a7dff6140efedbed606b0655f".
Changed file "fy.class" from "06630a4b9678b4df99c5f39ee58a2cfe76b39d87" to "43a37fb7afbbc88e277fe25b2d7160cc1972be53".
Changed file "g.class" from "c631e8be03cdce18e7b2615c24a1b3d980173eb6" to "c31ed7340e5bf3012acbc7b40d94384d5fa575b8".
Changed file "gb.class" from "a26b47e53d10eeb6e77532aa0a2b018b5ba85911" to "2fe916d17f53171e647269adb47a85312a60e3e9".
Changed file "gu.class" from "0079569ef6d1909455ad7fb8cecec681695c88ce" to "3604e2719d6e5b7a9f9d4368fa37426a991f142e".
Changed file "gw.class" from "c9d3ec01d44692cc98ffba59ed6cab1820d060d5" to "eb9d31f239b457f291b1e70547feb3260ce92021".
Changed file "gy.class" from "9e39934cad4e9ba64f3c59c51915eb3d2193cfe1" to "05c7c95d4a18b6180d232b4dddae79c42802cb76".
Changed file "hb.class" from "4814c39e31d72cda14c05fcf71828bb9b9ff83d7" to "fd1160d3bd18172ca11737a1d681275fedee4b17".
Changed file "hf.class" from "cf6e64e25f146ff1473cecdc7baf6ed15e6d7fa0" to "2bc955e6bfbb5ff4cec5b71fae59eed5ecd37a80".
Changed file "hh.class" from "dbda0ceb6451cb50dd65200b09d5c7542638d3b3" to "5d1049a46142f19b691e91a74fbe3f9fdddc3558".
Changed file "hi.class" from "8746307f810c70ddd848b234b2e9a1ae36018ad2" to "5a22c767a433373f18404c25cf72c0ea93e80c4b".
Changed file "hj.class" from "90952f25b746fe0f675f7febc58cd6e4da93c8dc" to "dd64cd4ca650e163c1966268ba094037ded611b4".
Changed file "hs.class" from "8dfa9e336f88756fcd5dc279d8384da60c7a1ea0" to "80c94293fe4cc5130fdb6e3ea957ae13a3017017".
Changed file "hw.class" from "c3b1590387defdf7e57313378c701cde32254964" to "640a6c2003820469807ee3037413ef5fc18bfe6f".
Changed file "hx.class" from "496a9f318e3e820c5850358f39aa0d950224764d" to "5c7c17d44033ccdceb2d44f287319e7bf237096e".
Changed file "hy.class" from "3d029aff2135836ba4f1cd1824e013661f836869" to "1d6d974fcaa40d61803520172e1bb4a1e49bb012".
Changed file "i.class" from "d79be9693419d44a711e44533404685d8341c00a" to "0eda73c2aad509ff5e2e540153b7906db5e09362".
Changed file "ib.class" from "70de13de247ee1627f8d02776b1c740d6588b724" to "964c03b05857b4a7a379af7179efe2baa8002ab1".
Changed file "if.class" from "061ecdceea1ca933cba4383f0f885e3157b167d5" to "56794f9eca5df70cc8da5c708cd47344ebfb61d8".
Changed file "ig.class" from "36ae15b45845e799169ea95ef957b1953effdf70" to "b514033d8fea86d9c5050a95864998214fcbe491".
Changed file "ij.class" from "4323e0dee2386c225eb2ab82dbeac68d3d979aad" to "6178c7f42396e4003bea6ca3e20288deafaa5b73".
Changed file "ik.class" from "44e7f6166bcf80cd463d4115f1ca629d05420aa6" to "bf4ab66442bcabbc0b97d581825604222eb09d4b".
Changed file "im.class" from "1863a50c611b043ba20b78e1364b48da8b6126b0" to "ebe5c27d2b5bc65cf41477d08b3b88d76566b24a".
Changed file "iq.class" from "5c76831ee441dd74410a5d11b1f3c2c9041fc635" to "38989eb044a290550d297f065b22b374f5e596b6".
