Difference of "all_files" between "b1.6.2" and "b1.6.3".

Changed file "META-INF/MANIFEST.MF" from "916a29d731828ecb51585291a55e4c27ce11c55e" to "ce9df226b34d3dbe063fc0e8fe5db96fe074396c".
Changed file "META-INF/MOJANG_C.DSA" from "1965bdf499fae768e9c341a4301530fe1117d5ca" to "f68a7100bfb11e08f59da39de52606fc77e35e04".
Changed file "META-INF/MOJANG_C.SF" from "57a0fbe2d21d3ae39573c8ec214e060b5767f9c3" to "72ab043e92001b7866258e0af6bfabe896b0a0f8".
Changed file "bz.class" from "7a35519c47650c7b902b20d37de2d0592dccd9ae" to "94ea54e4a6799769c826ba1cc3ffecd52e60fa86".
Changed file "fb.class" from "4adc4e7106d54df81ac98a5cff9244d7c71e9c3c" to "2269da171b3b4d855be7ba1ad250d2dbcd8c6de9".
Changed file "fs.class" from "2632160be7fd587d6c0889052563e1fc05e82edb" to "707e7114a9ea2e6e9b11426334e5043efe169425".
Changed file "kf.class" from "a0a4538a4f0ece4e8b75cb67343e398df13354cc" to "141600674032cc61e4c82282e097d130c058d4e9".
Changed file "kl.class" from "a9de5f967bc047f0673cd13ee488409dc6bce1c8" to "208c0d9774794ea4831f28438085ec37e41aa301".
Changed file "km.class" from "0df401c82674858ab565d74f6210a475a1d1de83" to "23112cc72ae3e2a5fde54de7c80b1d9f5bbda521".
Changed file "kr.class" from "736d731d1d1b7a2d09ece79ebf0c4f99ac22c573" to "9cb320c7364d33654cb1735a4f57a77413f5815d".
Changed file "net/minecraft/client/Minecraft.class" from "1d69b08737e25d30e1681737ff98f81ab3145661" to "668d655ada6274366bca2394a0f28505ba234908".
Changed file "pb.class" from "f9d7e01203adc98abaf02bbe1450e7b6fb5d7568" to "51b2d36556744d14f7343cba0b77192012196f12".
Changed file "pt.class" from "ad76b7a32e0f4843832693d99815017fb3d6f9f9" to "9a7f3ca632976f5e13f9976766db72f0556ddfa8".
Changed file "sx.class" from "cd945efcd9c73edd486d960934bd606bb472a697" to "ec68578a56af83e497b78db48f7dfea0da0391dc".
Changed file "uk.class" from "e01b5815cc36e71e295af0336672989b9bc0b83f" to "969cd3aa24d1ed00b65734e1462a7ea953c90547".
Changed file "vm.class" from "a869aede7fc77c47fab74d19ae6cf3eb591af834" to "45550c57670b829f620a2ac42bd06ca7a90e46fb".
Changed file "wx.class" from "76aea1d18a3ca07d3a3771182e1c5ad8ad0ac9ee" to "f5777eeb3b06d3ceccf6415ef48a3b923da198da".
Changed file "wy.class" from "be31c3863d48eb202d74ca222c022984b06c9a2e" to "ac5b3126fb93f04b64fc7b3f1ae1f7dcfad6d3a0".
Changed file "xa.class" from "c51c3cd652abdcb4437f77d79177559cb8bfa0e8" to "33f2abd6db12a8304828734fb8a1eb8dc3ccbd74".
Changed file "xc.class" from "e91d4224fc410ee86f98f634294f218bfeb8c914" to "8d208e865ab5b52c44756cc11feba23e3ff85b32".
