Difference of "all_files" between "b1.5" and "b1.5_01".

Changed file "META-INF/MANIFEST.MF" from "a130a2845db6b74022bb8c9c7b96c2c7e303b3dc" to "8ac26f029fdeb5fabaeb53092993fb2ff30963b6".
Changed file "META-INF/MOJANG_C.DSA" from "6291745e27d3954b819b66b6ae9364f1493f3c7a" to "a6844e505f9c681caad4360386fe7851a0edc9e2".
Changed file "META-INF/MOJANG_C.SF" from "31bd9f8d0ddde7dfe393468d50ad6c672fb24273" to "de9e0711aadddb43ab1dbd7ced0124aeac8b4acc".
Changed file "ag.class" from "7b97289c4c262d7122538e5237609c8ec89c07b5" to "9e1db3cda53d3741741a4c7d335edde6a44b6ddb".
Changed file "ai.class" from "cd1d6c9e6ff9e66f9e1c9d6bfe7180d61b36158e" to "cc1e574dac1e3a0b67e86f08c8d948bdf0e97c69".
Changed file "bu.class" from "b63b88c2e8ea762cbd1bfee547dc81ef8d5032bf" to "7c4d39cd9dffcf2152e6325c81ca772cad57ae42".
Changed file "cd.class" from "0d7c29efd5fa13fa7dec697a25a4d7f2ef999cf5" to "9282faee7c0d71596c03197b3231bed0c99eae83".
Changed file "cl.class" from "e35a4b6bde4a3734df5cf56d8bbcede9036b7bec" to "7c3f9410cab11a8a9e50320fe1f68997d261c198".
Changed file "ef.class" from "198c89cfb0eeed81007e1482a2cf5bdceb96c7af" to "68df2fe31e4da798bb0292ae38e2446c99989d19".
Changed file "es.class" from "79db4baba9de7e9b5fce6f091f7dc3104b22e752" to "cc67a7a168d499cb795f768ac0d17c28fe9e5e5f".
Changed file "et.class" from "9356f3a3b724095e5a789eebab307d89adb38c9c" to "4643ec81754ff43123d5c0a30b3e555e90c54ba1".
Changed file "fc.class" from "7e180846a18bc219fdafacf3cce881047dfb4fd3" to "ae125962071fb5244376df366ae72ba773644fae".
Changed file "fe.class" from "15b12a8aa203795dced3b0d74a5f6c2be5932657" to "6119187c3debe3e222080af82ace5257e73cb656".
Changed file "ff.class" from "fa748277bcaf52b5ffa0cff590489d927106fa79" to "f4f979e960c914482fc03dfbbf14aa3971d69459".
Changed file "fh.class" from "8a4a0257160bfdd45acab2faf26ee7af63ea9f11" to "6168e905258df7b85e7c6afa953d474b3abda5ee".
Changed file "gb.class" from "ed00cc0ccc22bb1f2254867ff7b0beee6f43f5d6" to "7f69a56ca4eeeac2bd9ca142df04519137e54805".
Changed file "is.class" from "a0bbf13e60cc8ae2abe448b7c0d51de34cad783d" to "f58275d9367d9e13c2570a4fd70fecf7daea0873".
Changed file "jc.class" from "088638181d9114a91d13dcdadca9cd7c3baf607f" to "22b492a37d5f463c939596ec05869aedda6c1714".
Changed file "jm.class" from "afb43d466eae0971e48ed8c84dddd61ae6b1dd8f" to "710be27d12fa1d5423f700bab03f07419d47ba49".
Changed file "jn.class" from "57037861ab1975c4cdc4019f940105a4ceed2635" to "1516ba191a14debd6839b6f17f1d2e802ecd13ac".
Changed file "jp.class" from "f38cf6d1196ac119f4943e95ec6ccbca16d0bb87" to "eb659232eff049ed4f4da545578afe802329ed03".
Changed file "ju.class" from "53bfc5008a28d3460da390e8db74b49b513d9c63" to "e526581b78c0a0da7261b567834c489a2e8a227f".
Changed file "jv.class" from "bfaa1904ba5dbaaed880e3ac4cfa7768562039c6" to "fe2c69cb66336e859a6a2a05c7805b3146852cbc".
Changed file "jz.class" from "a6a7647ef49ebc846027cc7818211ca91121e65d" to "46a7dd391e34f62c209e2e8d583e573d27a6c7e1".
Changed file "kr.class" from "58f6443fe7e43ae3ea261854004b501f91c03c72" to "e26804b5fdc40ad38cdc8fccd23ca8b8913792eb".
Changed file "ky.class" from "1516b95efeca71f120a0ee4ca6dd6692715e7e0d" to "7403db84c377d5bcb08a94bf71caa031c7dfd3db".
Changed file "m.class" from "4122b7c2dfebd65eb1851ed5abbc398273ef55c2" to "dc4941c855a75d183d4fc6a1c81b343fb4fa179e".
Changed file "net/minecraft/client/Minecraft.class" from "f4c62b11de8b9e5d0f1376b75660e809ad5dd38c" to "39e62334dcd51578beac8ca27ae227fa509f2416".
Changed file "od.class" from "424c82e3ab656e551f0d1cda2b89a71d5c0eeb3a" to "38d34caf510309c19e409e27af6af5d1bd696c17".
Changed file "oe.class" from "79ed4837725acad417d669c216d1822dbd1b8cb6" to "bc770797d36df4dba67abef5620b61aafa721715".
Changed file "oi.class" from "17ea6de8cd9b855f59f7705cf40c25e3e4965255" to "f141ea4227fd7db099c39413c3f206c097b9f523".
Changed file "oy.class" from "a141c5eaffd17aee9a856a7c73e390c22152766f" to "33ea1a548c44cc01a7606f50f1f50754e2a4a76d".
Changed file "rd.class" from "002ff4002401df1fcf814f573675f3cb17a7f40b" to "ba78a0bd4e3b951a7b742fedd644cfd6b82f4dc1".
