Difference of "all_files" between "a1.0.6" and "a1.0.6_01".

Changed file "META-INF/MANIFEST.MF" from "d572f3ae1f11b62bfe96dc31c00eb7dfa4c8074e" to "6ec4a9bf8889578210ee7b2c903270f8c78c124e".
Changed file "META-INF/MOJANG_C.DSA" from "cd9275b9eea9d42c5af2c775de617e946fb47841" to "5e622edbb101e4824708d8af0547cf19c7125fe5".
Changed file "META-INF/MOJANG_C.SF" from "f25cf1a33f3f0e20a3fd889156a37a672aef8419" to "c38380c620309a984389910e554537a64f34816d".
Changed file "ad.class" from "153fea5b50652d9337cfbf3d5d4d7e87018c5095" to "95059c1ceac6a9c7519a069d2e20493651f047cf".
Changed file "ai.class" from "539f5d58df13c49127a04a6885865bd871e917d3" to "162ca54df5b57be5443959cf0ee9dc396e996056".
Changed file "aj.class" from "312077cb64446a5a2107a4a8ece773860f513d05" to "8891f8a29911054fe5d94b57a7e9f23c0a1e34c6".
Changed file "al.class" from "ef1071582a8c0cded2d3f32af8bd7e9c65514fc9" to "f4fdb43064eee5ae7fb187e8eb2a721c11351609".
Changed file "ar.class" from "99432075312990b26df487da66b53c1c26ec9574" to "e6b85cb98cc08a68069367f974efd7a5f0d5d46c".
Changed file "at.class" from "db283b25321abbe88f97c05d2d3aa00672004a87" to "f7561b436d39f5b275d44b140fd67115221e83c5".
Changed file "au.class" from "4ecb03a3b842fc24545ab2b7c65738d3fcc43a3b" to "822dcd1d5e649ca63b5de0389674be28c36bbb13".
Changed file "ay.class" from "6bc5cd242a8e1886ddd7e830c2a8d6e80ae4bf6c" to "9764ecb8f6d147b170fde654d74592b41d9d1bdd".
Changed file "bc.class" from "320dd97b773f45017bd20ac96c2fe586fd3c5268" to "052bd844727e6b56d744d1826eb8c15c92b69822".
Changed file "bf.class" from "e929a605b48ca04d2aa87871bd52a4db469eaf57" to "91c112f679d819bf084456a60ecf7642089b7bd4".
Changed file "bh.class" from "c05499733bf7f7e86c355161823806c548ca6c58" to "5c12a5b555c70e3f1ba2c8117e832bb18fc107a1".
Changed file "bj.class" from "c55b868d39b7aabb3d42a765ad29918f685e878f" to "5dbbe5ccbc0b3d75de4e959500497430dbca35e3".
Changed file "bn.class" from "5e12e52cf7ff637831df01bc26b6b7b40cf90fdc" to "cf3e62c7a96a63dc14412ba30c00601bd88e7631".
Changed file "bw.class" from "0ca7f0b0c7f0f76143c5f2ba5ff480e405efaa16" to "e86e1af16f91912cad785ab0bb52cba5daa73352".
Changed file "cf.class" from "351a545833f89ba4422ca22ef433ec13d9926a41" to "340c17986d164e9ae7d1ada52c266e0ce39f019d".
Changed file "cg.class" from "f33dbc6808338cd319210557f80a79af276f54f7" to "f53311f675dcba1c2632c55a45ef91267585bcd0".
