Difference of "all_files" between "a1.0.7" and "a1.0.8_01".
Unable to create data files for 1 file between: "a1.0.8"

Total file: 493 (+4, -0)
Changed file "META-INF/MANIFEST.MF" from "e7f261a9d4f3473427818cfdb518fa2aa15880c8" to "68324290857f199e21dfb0275e21321c729e1488".
Changed file "META-INF/MOJANG_C.DSA" from "a9ca9990335ba2f13616ad8e20d7b8c69c501eb3" to "6425854c4e65fe405df880b4d8da5ab64f21ea39".
Changed file "META-INF/MOJANG_C.SF" from "a115af1bfe6fc09f66f799954b1125968aef2341" to "9a0559a25ac108ace757c06d7e5eb866ed96fe71".
Changed file "a.class" from "faac9eadeb59d99d176d63a44e70812230539413" to "8d707ab9bfd26d8f228126a7bfee31c42d2eacf6".
Changed file "aa.class" from "9ef678737f5c379d2a03a3c0b8e009830371dfae" to "886ad16549591b7c8ba15c7001788a477b1a0ce1".
Changed file "ab.class" from "79ceb2ece0bc0639943cf16fdad461d7d9784e9e" to "be694a3a01d1deeda3b59099977e247a3cd48f6f".
Changed file "ac.class" from "c474efcbf43061b856552c7e5c6810508c5e4274" to "cb51b9bc7d9f9ead3f9f6d7ae68bfcae896ece30".
Changed file "ad.class" from "29294a14ba34f16420f6bd0852cf462e297cbd1b" to "bf707e06cd41e86aa3c088e9453504f7be485881".
Changed file "ae.class" from "653e1a67f5ae1e7b1a347b767b0daccef2215b3d" to "d3a7f38044ba83f1f7269563f752029d84fb0d19".
Changed file "ag.class" from "769b3cc144338c35e50cfe65a86bff29ca243ada" to "4e97bf7a7c59377a15a0d83e784cd2252ceec904".
Changed file "ah.class" from "f3af42a70a6a407c06933bb73e243b39de884a2a" to "0f9ec71c885175f477359a2428d002d6f87d94d8".
Changed file "ai.class" from "6afca3096e6b8825b8d7df95ffdadee8d74c3f66" to "831d656c1069fe47a80beefb8f0e8176843de433".
Changed file "aj.class" from "c9fe9f2c74ac4488924975ae3d64c7e1438e1ac8" to "f01df38025449fedf8abda676cbeb63e46ed63ee".
Changed file "ak.class" from "766589e03cc042ce60ff4efcdae7087f7e064e05" to "e5515d8ed6484042034f3bf8e3999e6c42cc854a".
Changed file "al.class" from "b304a0e40b6df18d2972ed8fdcff8b0f6776c8c9" to "6f98b7dbdc48bb49a4c268e8ad96db1e3fcf16d4".
Changed file "am.class" from "d8e152fd1c5cbbad404ff98a16bfba060cf97581" to "1bfe230d26e7e5e5641e4d96149440570bf46549".
Changed file "an.class" from "761679455989d493b7eb770df1186b4780694a2a" to "6e3be726ec9a969769cc0c405c757fb3046c88dd".
Changed file "ao.class" from "e809e6a07581611b7e16c840219bc9066081a1d5" to "6cd89b4ef81a8576327bb8787a8075dea92b4703".
Changed file "ap.class" from "cb6a17b09f2eda6bde0c96cd0fdf69251092828e" to "5b3943cd5e7bd7bd215e9d9a6a914443152743cc".
Changed file "aq.class" from "ccfdfff077fec13511ce46112750956f2a919b60" to "8149fb596af99d859137eb2983c6755504b0e059".
Changed file "ar.class" from "fb21275815dd386c6f50e45dd7312803d4334d12" to "cefa07c0bc23b596632eca42787798a491fd49fc".
Changed file "as.class" from "466101aaf2eb4178928628e8e5234cef601bcf30" to "a61f010516cbf224cced6554876b2bd0e3d7ecc8".
Changed file "at.class" from "145a390dcfa021783646d87fd7c1bb35061f0f45" to "a34709ccb04c2ac2f3a42eecb624ac9d3001e394".
Changed file "au.class" from "ea97199d024da9e00ba55cf9431e31bcd74c1072" to "9308886a76de5477b1393621c0b1f003aec595ec".
Changed file "av.class" from "26831d44ce24f44026ba95ea35b67bee579c3219" to "b7f3dc1c6da49fcd9d444e1c028a1dce9a7babf3".
Changed file "aw.class" from "9b7a8072528215e1cb9e92ffa1444e4019bf6e0a" to "b19aedb40478cec0cea2eea645b56d2c33c6ee82".
Changed file "ax.class" from "4e2349418935c4d1770d8cb62520f010ec8189df" to "81a399b0a55bb63c778b4922b28898ab2c8fd531".
Changed file "ay.class" from "19a8231bf85ba8bcf240a16c6cc30d099c1e4517" to "2fc56397d0de4320143c4cd5c9d15930787cf02e".
Changed file "az.class" from "dd6e4739535d9ad816a6153d27ad4936835ea831" to "1c0e51d87fe4b848e90b86a61b46e33106bc52c8".
Changed file "b.class" from "262b984ed9dc5d0c9ffcdf4ebca5197d3fc6e422" to "c615dc064a572747c0e056e729c493bbcd306342".
Changed file "ba.class" from "5225ecc18dd11ec1806765f0d5584669acaee717" to "e36b3bd3c42b9e689633ca8078a7a4f5c8bf4d2d".
Changed file "bb.class" from "25779c9b8ad9efaf70a4e2e327a26e073792223c" to "322e8d329c47386b58236fbdc9dba08526bceef2".
Changed file "bc.class" from "93df2797abeaf3ebae4e53979155e8da89ce9436" to "9131c881cf21101c01dc69bdd8084fd510084c46".
Changed file "bd.class" from "6013b58ed00da2efedf703bbf21021d7a0e6d655" to "4720d1ddea0d1eaef6f3b6f5b8e86a0205341d6a".
Changed file "be.class" from "4aa0f8a92f80fe7e46ce5fb8759c3d489ce611c5" to "ecb22be3217a7e9218404c70b18712536698e3b2".
Changed file "bf.class" from "9b0270dfc9670d524490d7355c850ffa55ca0fe8" to "cce67046f59f2bd537fa2c7f36775a4e353cfea9".
Changed file "bg.class" from "c31ae0b6480c9ec544e5d3400369fb43a3a73c9d" to "3c2851bbb9e622160f5a56522bc2727cf98a7f0f".
Changed file "bh.class" from "ff96da90b1fd0ed615f44a9cb143438eeb210030" to "fd57f7ba3fbcf274b5fddb31b703ceb8939ccb96".
Changed file "bi.class" from "7b551a15e0035c640685dee799fcce5e074981a2" to "5a5ca8906aaf802feeafe404cede3faeef32dc93".
Changed file "bj.class" from "26596de2208cabfd4228c89b84f78f70ea7c2fe7" to "e924fc8b4493fb873b93715f265ab82558a456c8".
Changed file "bk.class" from "2c932d64619b19ae79c4732beba1a123de1ddb6d" to "ae91a9a42ba2c3465f0e642dca662f3549a053f4".
Changed file "bl.class" from "1e65030b1da5a16dae4322feeb57e40fa50f9979" to "8b1d95640d65bfb6d51354947565c976b6cee213".
Changed file "bm.class" from "58254183d0fb005877a78664ae2d2abf51af2d9d" to "cec82707560e3391d8fe6ffc84e85b996ddab779".
Changed file "bn.class" from "018cdbc14f745c33c9d36cf29dca2bd63ad6a2f1" to "23904854da3941fb053263b5133dcf097d64d602".
Changed file "bo.class" from "a36f9bb221506940ec3b4c7917ec77d1b1e5b6a0" to "adee3be6a65d85ea48aba3c0ba98f0040c0ee03d".
Changed file "bp.class" from "49cfe7c0d051b8648381fa8dd77fe5258fd0c2bb" to "cf20d789a90c07640d369e80cafb9ed253fc4072".
Changed file "bq.class" from "9de43a87c1beb7e4d721cfc61b3cee4de7be9944" to "b0e18a364799f933a181765dbf0a7640a20d72b4".
Changed file "br.class" from "2a8c20e233e6a64a4758c920536c53bd8586457b" to "23cc04be191fb8053b733766c90c979a64073eac".
Changed file "bs.class" from "433d4bf908e7fcff45fe821835650e8979b89b41" to "7e230073a5b9a8ef974fe0969d467f24095fae38".
Changed file "bt.class" from "d170c02c572b609fc2470dbb71ea9c6ea92fa1e4" to "77536631727ebde499494a8cd605ba8b8b38c774".
