Difference of "all_files" between "1.1.5" and "1.1.7".

Total file: 4262 (+5, -5)
Removed file "animation/DialogAnimation.xml" of "210c076d8a9a649fde3d382f59104d43f17bbf97".
Removed file "animation/ScreenAnimation.xml" of "580670ce3c1cbf864ef3f7d9da98b537610bc9f5".
Changed file "background.images" from "7ed1c78b76c69f6fa6e39c8a021dcf748d11f522" to "e827a9a36d058df0aa3bdcceb9c0e4f493a053dc".
Changed file "behavior_packs/vanilla/entities/agent.json" from "f2f95c2572c1175dfbbcdd06f989f75ea03cc8e0" to "5f6bf285b45875b612447700b5548ac111244cb1".
Changed file "behavior_packs/vanilla/entities/area_effect_cloud.json" from "320eca8923533507ff7e69c0e7922165cb788338" to "f3846f633e12f81f083f83d33a8d9580f6632f11".
Changed file "behavior_packs/vanilla/entities/arrow.json" from "b431457f90579a570b75a33ee3bdcbf68a7e1973" to "e47626f14c6f9646ed32941d8b420fe9cf64cd93".
Changed file "behavior_packs/vanilla/entities/bat.json" from "80c2991f34ea60d5b1817229ad5dbe946c59dc84" to "a66dc759eb1f76bee4bcc001c42ac7b6f959f043".
Changed file "behavior_packs/vanilla/entities/blaze.json" from "7d6a54f404e398085e577e23a9db16a8b04f18bf" to "c8aa63ba6cfe2d62a05ee98f6d04e3d2c426ee38".
Changed file "behavior_packs/vanilla/entities/boat.json" from "62b01774bea78df0ba3fb1c49f07471047a3b64c" to "f1a21c3f32bd7bd1b550289fa0f9df90c778dd16".
Changed file "behavior_packs/vanilla/entities/cave_spider.json" from "61f46a8d40a39a8f9afe1b40654a623df6b0fd21" to "80d1cf8c99a8d87b8141363935f7be1f36f6a468".
Changed file "behavior_packs/vanilla/entities/chest_minecart.json" from "1e26ac99275f94a6e7c34ecda2aeaf7bbb10019e" to "1d5b48351cc0d50d80183792db9726295756ec87".
Changed file "behavior_packs/vanilla/entities/chicken.json" from "0dc5ed35a289291612fc652c2d6a0b58fe58fc50" to "18470cb57c0daefc5677eef923838aaf44293afb".
Changed file "behavior_packs/vanilla/entities/command_block_minecart.json" from "6e24265f1adce8a0e541d35aebb19713d42e6690" to "f64479b1a65b524d2c774ed660e936d2bbf45286".
Changed file "behavior_packs/vanilla/entities/cow.json" from "d2d2cad9058c722404df613500e995e920fbbc2f" to "c9c4f759b951be5bbd2f682ed45eddfeefff6854".
Changed file "behavior_packs/vanilla/entities/creeper.json" from "6f0731fc200f22dcbcdf4d6f45feb091e57abd35" to "4f5936d609bdde6563007b03787092c061fdb0d1".
Changed file "behavior_packs/vanilla/entities/donkey.json" from "0b89ea1e2348b09469c633e0a638c1dbd6d1434d" to "453bac726c26fee89304671921b5ddb4f55393b3".
Changed file "behavior_packs/vanilla/entities/dragon_fireball.json" from "35acbe3429994cf7ff5d7fac53a085acd4ddb1e8" to "1d6c7b773fe8da15173cff1e42c4d3e9eecfaf91".
Changed file "behavior_packs/vanilla/entities/egg.json" from "ee5ce330e7530d89ebdddb4464ad7de489bfd6c5" to "468c6a306a7d58124c4beb755c16056e87e560bd".
Changed file "behavior_packs/vanilla/entities/elder_guardian.json" from "81c8c312afbd54e096f25a7d1864d4680d88140f" to "f5406f30da959bf710f9696dc1f6487345d9be92".
